time, tag_id, distance,index, min, sec, tag_id, distance, times, interval, absence,tag_id
94,48127,181,2,43,3,48127,181,1,120,0,BBFF
94,52326,239,3,43,3,52326,239,3,103,16,CC66
94,52258,497,4,43,3,52258,497,2,396,7,CC22
95,48110,688,1,43,4,48110,688,1,117,0,BBEE
95,48127,179,2,43,4,48127,179,1,121,0,BBFF
95,48093,444,3,43,4,48093,444,2,421,0,BBDD
96,48110,696,1,43,5,48110,696,1,118,0,BBEE
96,48127,182,2,43,5,48127,182,1,122,0,BBFF
96,52258,489,3,43,5,52258,489,2,397,7,CC22
97,48110,711,1,43,6,48110,711,1,119,0,BBEE
97,48127,184,2,43,6,48127,184,1,123,0,BBFF
97,52326,201,3,43,6,52326,201,3,104,16,CC66
97,52275,234,4,43,6,52275,234,4,191,1,CC33
97,48093,453,5,43,6,48093,453,2,422,0,BBDD
97,48076,233,6,43,6,48076,233,4,210,0,BBCC
98,48127,189,1,43,7,48127,189,1,124,0,BBFF
98,52258,488,2,43,7,52258,488,2,398,7,CC22
99,48110,711,1,43,8,48110,711,1,120,1,BBEE
99,48127,186,2,43,8,48127,186,1,125,0,BBFF
99,48093,453,3,43,8,48093,453,2,423,0,BBDD
100,48110,709,1,43,9,48110,709,1,121,1,BBEE
100,48127,178,2,43,9,48127,178,1,126,0,BBFF
100,52258,496,3,43,9,52258,496,2,399,7,CC22
101,48110,711,1,43,10,48110,711,1,122,1,BBEE
101,48127,188,2,43,10,48127,188,1,127,0,BBFF
101,52275,235,3,43,10,52275,235,4,192,1,CC33
101,48093,451,4,43,10,48093,451,2,424,0,BBDD
101,48076,219,5,43,10,48076,219,4,211,0,BBCC
102,48127,186,1,43,11,48127,186,1,128,0,BBFF
102,52258,492,2,43,11,52258,492,2,400,7,CC22
103,48127,180,1,43,12,48127,180,1,129,0,BBFF
103,48093,449,2,43,12,48093,449,2,425,0,BBDD
104,48127,182,1,43,13,48127,182,1,130,0,BBFF
104,52258,495,2,43,13,52258,495,2,401,7,CC22
105,48127,189,1,43,14,48127,189,1,131,0,BBFF
105,52275,242,2,43,14,52275,242,4,193,1,CC33
105,48093,454,3,43,14,48093,454,2,426,0,BBDD
105,48076,229,4,43,14,48076,229,4,212,0,BBCC
106,48127,188,1,43,15,48127,188,1,132,0,BBFF
