time, tag_id, distance,,time1,, distance, times, interval, absence,,,,index, min, sec
105,48093,285,,155,,285,1,106,0,,,,4,9,35
106,48127,813,,156,,813,1,83,0,,,,1,9,36
106,52258,387,,156,,387,1,85,0,,,,2,9,36
106,48110,582,,156,,582,1,99,1,,,,3,9,36
106,48093,279,,156,,279,1,107,0,,,,4,9,36
107,48127,821,,157,,821,1,84,0,,,,1,9,37
107,52258,386,,157,,386,1,86,0,,,,2,9,37
107,48110,598,,157,,598,1,100,1,,,,3,9,37
107,48093,276,,157,,276,1,108,0,,,,4,9,37
108,48127,825,,158,,825,1,85,0,,,,1,9,38
108,52258,386,,158,,386,1,87,0,,,,2,9,38
108,48110,602,,158,,602,1,101,1,,,,3,9,38
108,48093,281,,158,,281,1,109,0,,,,4,9,38
109,48127,834,,159,,834,1,86,0,,,,1,9,39
109,52258,386,,159,,386,1,88,0,,,,2,9,39
109,48110,606,,159,,606,1,102,1,,,,3,9,39
109,48093,280,,159,,280,1,110,0,,,,4,9,39
110,48127,838,,160,,838,1,87,0,,,,1,9,40
110,52258,384,,160,,384,1,89,0,,,,2,9,40
110,48110,622,,160,,622,1,103,1,,,,3,9,40
110,48093,273,,160,,273,1,111,0,,,,4,9,40
111,48127,852,,161,,852,1,88,0,,,,1,9,41
111,52258,384,,161,,384,1,90,0,,,,2,9,41
111,48110,627,,161,,627,1,104,1,,,,3,9,41
111,48093,280,,161,,280,1,112,0,,,,4,9,41
112,48127,887,,162,,887,1,91,0,,,,1,9,42
112,52258,386,,162,,386,1,93,0,,,,2,9,42
112,48110,658,,162,,658,1,107,1,,,,3,9,42
112,48093,280,,162,,280,1,115,0,,,,4,9,42
113,48127,896,,163,,896,1,92,0,,,,1,9,43
113,52258,387,,163,,387,1,94,0,,,,2,9,43
113,48110,669,,163,,669,1,108,1,,,,3,9,43
113,48093,278,,163,,278,1,116,0,,,,4,9,43
114,48127,905,,164,,905,1,93,0,,,,1,9,44
114,52258,386,,164,,386,1,95,0,,,,2,9,44
114,48110,680,,164,,680,1,109,1,,,,3,9,44
114,48093,281,,164,,281,1,117,0,,,,4,9,44
115,48127,919,,165,,919,1,94,0,,,,1,9,45
115,52258,389,,165,,389,1,96,0,,,,2,9,45
115,48110,690,,165,,690,1,110,1,,,,3,9,45
115,48093,277,,165,,277,1,118,0,,,,4,9,45
116,48127,923,,166,,923,1,95,0,,,,1,9,46
116,52258,388,,166,,388,1,97,0,,,,2,9,46
116,48110,703,,166,,703,1,111,1,,,,3,9,46
116,48093,276,,166,,276,1,119,0,,,,4,9,46
117,48127,938,,167,,938,1,96,0,,,,1,9,47
117,52258,384,,167,,384,1,98,0,,,,2,9,47
117,48110,711,,167,,711,1,112,1,,,,3,9,47
117,48093,278,,167,,278,1,120,0,,,,4,9,47
