index,min,, sec, tag_id, distance,times, interval,  absence
1,9,,8,0xcc22,220,14,1,4
2,9,,8,0xbbdd,340,41,1,2
3,9,,8,0xcc11,299,52,1,0
4,9,,8,0xbbee,222,55,1,2
5,9,,8,0xcc33,314,66,1,1
6,9,,8,0xcc66,200,78,1,0
7,9,,8,0xbbff,321,22,1,6
,,,,,,,,
1,9,,9,0xcc22,219,15,1,4
2,9,,9,0xbbdd,333,42,1,2
3,9,,9,0xcc11,297,53,1,0
4,9,,9,0xbbee,222,56,1,2
5,9,,9,0xcc33,319,67,1,1
6,9,,9,0xcc66,201,79,1,0
7,9,,9,0xbbff,320,23,1,6
,,,,,,,,
1,9,,10,0xbbdd,339,43,1,2
2,9,,10,0xcc11,297,54,1,0
3,9,,10,0xbbee,221,57,1,2
4,9,,10,0xcc33,313,68,1,1
5,9,,10,0xcc66,203,80,1,0
,,,,,,,,
1,9,,11,0xbbdd,337,44,1,2
2,9,,11,0xcc11,300,55,1,0
3,9,,11,0xbbee,222,58,1,2
4,9,,11,0xcc33,316,69,1,1
5,9,,11,0xcc66,200,81,1,0
,,,,,,,,
1,9,,12,0xbbdd,336,45,1,2
2,9,,12,0xcc11,300,56,1,0
3,9,,12,0xbbee,221,59,1,2
4,9,,12,0xcc33,317,70,1,1
5,9,,12,0xcc66,198,82,1,0
,,,,,,,,
1,9,,13,0xbbdd,345,46,1,2
2,9,,13,0xcc11,302,57,1,0
3,9,,13,0xbbee,209,60,1,2
4,9,,13,0xcc33,324,71,1,1
5,9,,13,0xcc66,205,83,1,0
,,,,,,,,
1,9,,14,0xcc22,220,1,1,0
2,9,,14,0xbbdd,335,47,1,2
3,9,,14,0xcc11,298,58,1,0
4,9,,14,0xbbee,222,61,1,2
5,9,,14,0xcc33,310,72,1,1
6,9,,14,0xcc66,201,84,1,0
,,,,,,,,
1,9,,15,0xcc22,220,2,1,0
2,9,,15,0xbbdd,337,48,1,2
3,9,,15,0xcc11,295,59,1,0
4,9,,15,0xbbee,221,62,1,2
5,9,,15,0xcc33,315,73,1,1
6,9,,15,0xcc66,196,85,1,0
7,9,,15,0xbbff,321,24,1,6
,,,,,,,,
1,9,,16,0xcc22,224,3,1,0
2,9,,16,0xbbdd,334,49,1,2
3,9,,16,0xcc11,299,60,1,0
4,9,,16,0xbbee,223,63,1,2
5,9,,16,0xcc33,315,74,1,1
6,9,,16,0xcc66,201,86,1,0
7,9,,16,0xbbff,318,25,1,6
,,,,,,,,
1,9,,27,0xbbdd,327,59,1,2
2,9,,27,0xcc11,295,71,1,0
3,9,,27,0xbbee,221,74,1,2
4,9,,27,0xcc33,317,85,1,1
5,9,,27,0xcc66,206,96,1,0
,,,,,,,,
1,9,,27,0xcc22,224,5,1,1
2,9,,27,0xbbdd,336,60,1,2
3,9,,27,0xcc11,298,72,1,0
4,9,,27,0xbbee,222,75,1,2
5,9,,27,0xcc33,316,86,1,1
6,9,,27,0xcc66,199,97,1,0
7,9,,27,0xbbff,318,30,1,6
,,,,,,,,
1,9,,29,0xcc22,220,6,1,1
2,9,,29,0xbbdd,335,61,1,2
3,9,,29,0xcc11,296,73,1,0
4,9,,29,0xbbee,225,76,1,2
5,9,,29,0xcc33,318,87,1,1
6,9,,29,0xcc66,197,98,1,0
,,,,,,,,
1,9,,30,0xcc22,221,7,1,1
2,9,,30,0xbbdd,339,62,1,2
3,9,,30,0xcc11,300,74,1,0
4,9,,30,0xbbee,228,77,1,2
5,9,,30,0xcc33,319,88,1,1
6,9,,30,0xcc66,197,99,1,0
7,9,,30,0xbbff,321,31,1,6
,,,,,,,,
1,9,,31,0xbbdd,343,63,1,2
2,9,,31,0xcc11,300,75,1,0
3,9,,31,0xbbee,220,78,1,2
4,9,,31,0xcc33,314,89,1,1
5,9,,31,0xcc66,201,100,1,0
,,,,,,,,
1,9,,32,0xcc22,223,8,1,2
2,9,,32,0xbbdd,335,64,1,2
3,9,,32,0xcc11,297,76,1,0
4,9,,32,0xbbee,221,79,1,2
5,9,,32,0xcc33,318,90,1,1
6,9,,32,0xcc66,199,101,1,0
7,9,,32,0xbbff,321,32,1,6
,,,,,,,,
1,9,,32,0xcc22,223,9,1,2
2,9,,32,0xbbdd,335,65,1,2
3,9,,32,0xcc11,293,77,1,0
4,9,,32,0xbbee,221,80,1,2
5,9,,32,0xcc33,318,91,1,1
6,9,,32,0xcc66,198,102,1,0
7,9,,32,0xbbff,320,33,1,6
,,,,,,,,
1,9,,34,0xcc22,223,10,1,2
2,9,,34,0xbbdd,338,66,1,2
3,9,,34,0xcc11,294,78,1,0
4,9,,34,0xbbee,219,81,1,2
5,9,,34,0xcc33,316,92,1,1
6,9,,34,0xcc66,202,103,1,0
7,9,,34,0xbbff,321,34,1,6
,,,,,,,,
1,9,,37,0xcc22,219,11,1,2
2,9,,37,0xbbdd,337,67,1,2
3,9,,37,0xcc11,297,79,1,0
4,9,,37,0xbbee,224,82,1,2
5,9,,37,0xcc33,316,93,1,1
6,9,,37,0xcc66,202,104,1,0
7,9,,37,0xbbff,322,35,1,6
,,,,,,,,
1,9,,37,0xcc22,217,12,1,2
2,9,,37,0xbbdd,335,68,1,2
3,9,,37,0xcc11,300,80,1,0
4,9,,37,0xbbee,221,83,1,2
5,9,,37,0xcc33,318,94,1,1
6,9,,37,0xcc66,196,105,1,0
7,9,,37,0xbbff,319,36,1,6
,,,,,,,,
1,9,,37,0xbbdd,333,69,1,2
2,9,,37,0xcc11,292,81,1,0
3,9,,37,0xcc33,310,95,1,1
4,9,,37,0xcc66,192,106,1,0
,,,,,,,,
1,9,,38,0xcc22,219,13,1,2
2,9,,38,0xbbdd,333,70,1,2
3,9,,38,0xcc11,295,82,1,0
4,9,,38,0xbbee,219,84,1,2
5,9,,38,0xcc33,312,96,1,1
6,9,,38,0xcc66,199,107,1,0
,,,,,,,,
1,9,,40,0xcc22,223,14,1,2
2,9,,40,0xbbdd,334,71,1,2
3,9,,40,0xcc11,301,83,1,0
4,9,,40,0xbbee,222,85,1,2
5,9,,40,0xcc33,317,97,1,1
6,9,,40,0xcc66,202,108,1,0
,,,,,,,,
1,9,,40,0xcc22,220,15,1,2
2,9,,40,0xbbdd,334,72,1,2
3,9,,40,0xcc11,299,84,1,0
4,9,,40,0xbbee,222,86,1,2
5,9,,40,0xcc33,318,98,1,1
6,9,,40,0xcc66,204,109,1,0
,,,,,,,,
1,9,,41,0xcc22,218,16,1,2
2,9,,41,0xbbdd,336,73,1,2
3,9,,41,0xcc11,294,85,1,0
4,9,,41,0xbbee,225,87,1,2
5,9,,41,0xcc33,320,99,1,1
6,9,,41,0xcc66,198,110,1,0
,,,,,,,,
1,9,,42,0xbbdd,338,74,1,2
2,9,,42,0xcc11,302,86,1,0
3,9,,42,0xbbee,218,88,1,2
4,9,,42,0xcc33,307,100,1,1
,,,,,,,,
1,9,,43,0xcc22,222,17,1,3
2,9,,43,0xbbdd,338,75,1,2
3,9,,43,0xcc11,296,87,1,0
4,9,,43,0xbbee,223,89,1,2
5,9,,43,0xcc33,317,101,1,1
6,9,,43,0xcc66,196,111,1,0
,,,,,,,,
1,9,,44,0xbbdd,337,76,1,2
2,9,,44,0xcc11,298,88,1,0
3,9,,44,0xbbee,220,90,1,2
4,9,,44,0xcc33,318,102,1,1
5,9,,44,0xcc66,197,112,1,0
,,,,,,,,
1,9,,45,0xcc22,221,18,1,4
2,9,,45,0xbbdd,333,77,1,2
3,9,,45,0xcc11,298,89,1,0
4,9,,45,0xbbee,220,91,1,2
5,9,,45,0xcc33,317,103,1,1
6,9,,45,0xcc66,200,113,1,0
,,,,,,,,
1,9,,46,0xcc22,219,19,1,4
2,9,,46,0xbbdd,334,78,1,2
3,9,,46,0xcc11,296,90,1,0
4,9,,46,0xbbee,219,92,1,2
5,9,,46,0xcc33,316,104,1,1
6,9,,46,0xcc66,199,114,1,0
,,,,,,,,
1,9,,47,0xcc22,222,20,1,4
2,9,,47,0xbbdd,336,79,1,2
3,9,,47,0xcc11,296,91,1,0
4,9,,47,0xbbee,222,93,1,2
5,9,,47,0xcc33,315,105,1,1
6,9,,47,0xcc66,198,115,1,0
7,9,,47,0xbbff,315,37,1,6
,,,,,,,,
1,9,,48,0xbbdd,340,80,1,2
2,9,,48,0xcc11,300,92,1,0
3,9,,48,0xbbee,221,94,1,2
4,9,,48,0xcc33,313,106,1,1
5,9,,48,0xcc66,199,116,1,0
,,,,,,,,
1,9,,49,0xcc22,224,21,1,5
2,9,,49,0xbbdd,337,81,1,2
3,9,,49,0xcc11,297,93,1,0
4,9,,49,0xbbee,221,95,1,2
5,9,,49,0xcc33,316,107,1,1
6,9,,49,0xcc66,201,117,1,0
,,,,,,,,
1,9,,50,0xcc22,222,22,1,5
2,9,,50,0xbbdd,337,82,1,2
3,9,,50,0xcc11,297,94,1,0
4,9,,50,0xbbee,222,96,1,2
5,9,,50,0xcc33,316,108,1,1
6,9,,50,0xcc66,194,118,1,0
7,9,,50,0xbbff,318,38,1,6
,,,,,,,,
1,9,,50,0xbbdd,334,83,1,2
2,9,,50,0xcc11,291,95,1,0
3,9,,50,0xbbee,222,97,1,2
4,9,,50,0xcc33,319,109,1,1
5,9,,50,0xcc66,203,119,1,0
,,,,,,,,
1,9,,51,0xcc22,222,23,1,5
2,9,,51,0xbbdd,339,84,1,2
3,9,,51,0xcc11,296,96,1,0
4,9,,51,0xbbee,223,98,1,2
5,9,,51,0xcc33,321,110,1,1
6,9,,51,0xcc66,203,120,1,0
,,,,,,,,
1,9,,52,0xcc22,219,24,1,5
2,9,,52,0xbbdd,338,85,1,2
3,9,,52,0xcc11,297,97,1,0
4,9,,52,0xbbee,223,99,1,2
5,9,,52,0xcc33,318,111,1,1
6,9,,52,0xcc66,198,121,1,0
,,,,,,,,
1,9,,53,0xcc22,219,25,1,5
2,9,,53,0xbbdd,337,86,1,2
3,9,,53,0xcc11,301,98,1,0
4,9,,53,0xbbee,219,100,1,2
5,9,,53,0xcc33,319,112,1,1
6,9,,53,0xcc66,200,122,1,0
7,9,,53,0xbbff,321,39,1,6
,,,,,,,,
1,9,,55,0xcc22,221,26,1,5
2,9,,55,0xbbdd,338,87,1,2
3,9,,55,0xcc11,301,99,1,0
4,9,,55,0xbbee,222,101,1,2
5,9,,55,0xcc33,318,113,1,1
6,9,,55,0xcc66,199,123,1,0
,,,,,,,,
1,9,,56,0xcc22,216,27,1,5
2,9,,56,0xcc11,298,100,1,0
3,9,,56,0xcc33,319,114,1,1
4,9,,56,0xcc66,201,124,1,0
,,,,,,,,
1,9,,57,0xcc22,223,28,1,5
2,9,,57,0xbbdd,337,88,1,3
3,9,,57,0xcc11,298,101,1,0
4,9,,57,0xbbee,220,102,1,2
5,9,,57,0xcc33,315,115,1,1
6,9,,57,0xcc66,196,125,1,0
7,9,,57,0xbbff,319,40,1,6
,,,,,,,,
1,9,,58,0xcc22,219,29,1,5
2,9,,58,0xbbdd,340,89,1,3
3,9,,58,0xcc11,300,102,1,0
4,9,,58,0xbbee,221,103,1,2
5,9,,58,0xcc33,314,116,1,1
6,9,,58,0xcc66,201,126,1,0
7,9,,58,0xbbff,314,41,1,6
,,,,,,,,
1,9,,59,0xcc22,223,30,1,5
2,9,,59,0xbbdd,338,90,1,3
3,9,,59,0xcc11,298,103,1,0
4,9,,59,0xbbee,224,104,1,2
5,9,,59,0xcc33,316,117,1,1
6,9,,59,0xcc66,199,127,1,0
7,9,,59,0xbbff,315,42,1,6
,,,,,,,,
1,10,,0,0xbbdd,339,91,1,3
2,10,,0,0xcc11,303,104,1,0
3,10,,0,0xbbee,219,105,1,2
4,10,,0,0xcc33,312,118,1,1
5,10,,0,0xcc66,200,128,1,0
,,,,,,,,
1,10,,1,0xcc22,219,31,1,6
2,10,,1,0xbbdd,336,92,1,3
3,10,,1,0xcc11,295,105,1,0
4,10,,1,0xbbee,219,106,1,2
5,10,,1,0xcc33,314,119,1,1
6,10,,1,0xcc66,201,129,1,0
7,10,,1,0xbbff,313,43,1,6
,,,,,,,,
1,10,,2,0xcc22,221,32,1,6
2,10,,2,0xbbdd,340,93,1,3
3,10,,2,0xcc11,298,106,1,0
4,10,,2,0xbbee,224,107,1,2
5,10,,2,0xcc33,319,120,1,1
6,10,,2,0xcc66,202,130,1,0
7,10,,2,0xbbff,320,44,1,6
,,,,,,,,
1,10,,15,0xcc22,220,39,1,7
2,10,,15,0xbbdd,336,102,1,3
3,10,,15,0xcc11,296,115,1,0
4,10,,15,0xbbee,225,115,1,2
5,10,,15,0xcc33,318,129,1,1
6,10,,15,0xcc66,201,139,1,0
7,10,,15,0xbbff,321,48,1,6
,,,,,,,,
1,10,,15,0xcc22,220,40,1,7
2,10,,15,0xbbdd,338,103,1,3
3,10,,15,0xcc11,296,116,1,0
4,10,,15,0xbbee,225,116,1,2
5,10,,15,0xcc33,313,130,1,1
