min, sec, tag_id, distance,times, interval,  absence

56,59,0xcc22,219,33,1,0
56,59,0xbbdd,335,39,1,1
56,59,0xcc11,298,47,1,0
56,59,0xbbee,225,70,1,5
56,59,0xcc33,319,85,1,3
56,59,0xcc66,205,99,1,0
56,59,0xbbff,321,87,1,2

56,59,0xcc22,218,34,1,0
56,59,0xbbdd,333,40,1,1
56,59,0xcc11,301,48,1,0
56,59,0xbbee,222,71,1,5
56,59,0xcc33,320,86,1,3
56,59,0xcc66,204,100,1,0
56,59,0xbbff,323,88,1,2

56,59,0xcc22,223,35,1,0
56,59,0xbbdd,333,41,1,1
56,59,0xcc11,300,49,1,0
56,59,0xbbee,223,72,1,5
56,59,0xcc33,317,87,1,3
56,59,0xcc66,200,101,1,0
56,59,0xbbff,319,89,1,2

56,59,0xcc22,221,36,1,0
56,59,0xbbdd,333,42,1,1
56,59,0xcc11,302,50,1,0
56,59,0xbbee,225,73,1,5
56,59,0xcc33,322,88,1,3
56,59,0xcc66,202,102,1,0
56,59,0xbbff,319,90,1,2

57,00,0xcc22,223,37,1,0
57,00,0xbbdd,336,43,1,1
57,00,0xcc11,301,51,1,0
57,00,0xbbee,227,74,1,5
57,00,0xcc33,320,89,1,3
57,00,0xcc66,198,103,1,0
57,00,0xbbff,320,91,1,2

57,03,0xcc22,217,38,1,0
57,03,0xbbdd,334,44,1,1
57,03,0xcc11,299,52,1,0
57,03,0xbbee,224,75,1,5
57,03,0xcc33,318,90,1,3
57,03,0xcc66,206,104,1,0
57,03,0xbbff,320,92,1,2

57,03,0xcc22,221,39,1,0
57,03,0xbbdd,334,45,1,1
57,03,0xcc11,298,53,1,0
57,03,0xcc33,325,91,1,3
57,03,0xcc66,203,105,1,0
57,03,0xbbff,321,93,1,2

57,03,0xcc22,220,40,1,0
57,03,0xbbdd,338,46,1,1
57,03,0xcc11,302,54,1,0
57,03,0xbbee,225,76,1,5
57,03,0xcc33,318,92,1,3
57,03,0xcc66,212,106,1,0
57,03,0xbbff,321,94,1,2

57,04,0xcc22,219,41,1,0
57,04,0xbbdd,340,47,1,1
57,04,0xcc11,301,55,1,0
57,04,0xbbee,226,77,1,5
57,04,0xcc33,318,93,1,3
57,04,0xcc66,209,107,1,0
57,04,0xbbff,323,95,1,2

57,05,0xcc22,220,42,1,0
57,05,0xcc11,300,56,1,0
57,05,0xbbee,222,78,1,5
57,05,0xcc33,321,94,1,3
57,05,0xcc66,206,108,1,0
57,05,0xbbff,319,96,1,2

57,06,0xcc22,219,43,1,0
57,06,0xcc11,296,57,1,0
57,06,0xbbee,227,79,1,5
57,06,0xcc33,319,95,1,3
57,06,0xcc66,210,109,1,0
57,06,0xbbff,324,97,1,2

57,07,0xcc22,219,44,1,0
57,07,0xbbdd,335,48,1,1
57,07,0xcc11,300,58,1,0
57,07,0xbbee,228,80,1,5
57,07,0xcc33,318,96,1,3
57,07,0xcc66,203,110,1,0
57,07,0xbbff,322,98,1,2

57,08,0xcc22,222,45,1,0
57,08,0xbbdd,336,49,1,1
57,08,0xcc11,300,59,1,0
57,08,0xbbee,225,81,1,5
57,08,0xcc33,319,97,1,3
57,08,0xcc66,204,111,1,0
57,08,0xbbff,320,99,1,2

57,09,0xcc22,219,46,1,0
57,09,0xbbdd,339,50,1,1
57,09,0xcc11,300,60,1,0
57,09,0xbbee,226,82,1,5
57,09,0xcc33,324,98,1,3
57,09,0xcc66,206,112,1,0
57,09,0xbbff,321,100,1,2

57,10,0xcc22,220,47,1,0
57,10,0xbbdd,341,51,1,1
57,10,0xcc11,300,61,1,0
57,10,0xbbee,227,83,1,5
57,10,0xcc33,321,99,1,3
57,10,0xcc66,204,113,1,0
57,10,0xbbff,325,101,1,2

57,11,0xcc22,221,48,1,0
57,11,0xbbdd,340,52,1,1
57,11,0xcc11,301,62,1,0
57,11,0xbbee,226,84,1,5
57,11,0xcc33,317,100,1,3
57,11,0xcc66,202,114,1,0
57,11,0xbbff,324,102,1,2

57,12,0xcc22,222,49,1,0
57,12,0xbbdd,341,53,1,1
57,12,0xcc11,300,63,1,0
57,12,0xbbee,227,85,1,5
57,12,0xcc33,322,101,1,3
